Temp,RH,WS,WD,SR
57.9,74.59,0.1,23.95,85.57
55.74,71.03,0.1,58.26,99.52
57.9,80.8,0.1,45.09,108.89
52.14,84.64,3.52,90,119.23
55.05,81.46,1.87,42.28,51.79
57.9,79.54,0.1,23.79,70.76
57.9,79.66,0.1,24.65,81.66
57.9,87.18,0.1,25.59,64.86
57.9,84.27,0.1,23.38,83.18
57.91,81.07,0.1,21.68,83.22
57.9,72.64,0.1,22.16,75.28
57.9,70.98,0.1,21.98,100.53
57.9,67.99,0.1,22.04,119.38
57.9,75.99,0.1,21.98,11
57.9,50.9,0.1,22.3,149.71
57.9,58.41,0.1,22.11,67.9
57.9,90.43,0.1,22.14,21.76
57.9,95.85,0.1,22.3,34.52
57.9,87.83,0.1,22.3,91.22
57.9,87.09,0.1,22.07,93.96
57.9,84.84,0.1,54.82,67.79
57.9,78.55,0.1,58.76,89.38
57.9,73.63,0.1,55.69,94
57.9,66.89,0.1,52.38,90.57
57.9,69.83,0.1,48.6,83.87
57.9,70.96,0.1,51.14,81.86
57.9,66.78,0.1,50.68,82.96
57.9,69.8,0.1,50.28,85.33
57.9,65.33,0.1,48.79,78.17
57.9,64.64,0.1,49.22,79.75
57.9,72.35,0.1,40.19,67.88
57.9,78.34,0.1,23.05,62.47
57.9,79.28,0.1,21.61,72.62
57.9,75.29,0.1,21.72,80.69
57.9,68.07,0.1,21.8,82.21
57.9,66.79,0.1,21.76,79.08
57.9,71.5,0.1,21.92,65.17
57.9,76.28,0.1,21.74,66.46
57.9,75.17,0.1,31.34,39.68
57.9,83.08,0.1,49.42,44.37
